=== DATA FILE SAVED WITH SOFTWARE VERSION: V2.9.8 ===
=== WAVECATCHER SYSTEM OF TYPE 3 WITH 72 CHANNELS AND GAIN: 1.0 ===
=== Rate coincidence masks (4 bits) for ch 0 to 63: 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 === Posttrig in ns for SamBlock 0 to 35: 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 0 0 0 0 ===
=== Common: EventNumber UnixTime Date Time TDC ===
=== Individual per channel: ChannelNb EventID MeasuredBaseline[Volts] Amplitude[Volts] Charge[pC] LeadingEdgeTime[ns] TrailingEdgeTime[ns] RateCounter[Hz]=== 
16 70 -1.010574 -0.012462 -158.012 1588.112 1592.136    5229.67
17 70 0.059304 1.191441 43340.703 695.342 2557.250  101657.23
=== Event 71 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 238038 == Nb of channels = 2 ===
16 71 -1.019158 0.019607  335.949 1235.050 1289.994    5229.67
17 71 0.058620 1.200839 42720.578 722.805 2557.248  101657.23
=== Event 72 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 241293 == Nb of channels = 2 ===
16 72 -1.022094 0.026583   95.868 1356.880 1362.162    5229.67
17 72 0.059038 1.191050 42930.285 713.051 2557.250  101657.23
=== Event 73 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 244548 == Nb of channels = 2 ===
16 73 -1.017369 0.019813   57.986 1690.139 1695.225    5229.67
17 73 0.059112 1.200339 43241.840 700.090 2557.248  101657.23
=== Event 74 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 247802 == Nb of channels = 2 ===
16 74 -1.013700 -0.016836 -123.916 1000.448 1036.678    5229.67
17 74 0.058773 1.193707 42570.758 728.670 2557.249  101657.23
=== Event 75 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 251057 == Nb of channels = 2 ===
16 75 -1.008668 -0.021592 -316.847 1165.118 1199.464    5229.67
