=== DATA FILE SAVED WITH SOFTWARE VERSION: V2.9.8 ===
=== WAVECATCHER SYSTEM OF TYPE 3 WITH 72 CHANNELS AND GAIN: 1.0 ===
=== Rate coincidence masks (4 bits) for ch 0 to 63: 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 === Posttrig in ns for SamBlock 0 to 35: 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 0 0 0 0 ===
=== Common: EventNumber UnixTime Date Time TDC ===
=== Individual per channel: ChannelNb EventID MeasuredBaseline[Volts] Amplitude[Volts] Charge[pC] LeadingEdgeTime[ns] TrailingEdgeTime[ns] RateCounter[Hz]=== 
17 40 0.165813 1.089504 38737.273 729.507 2557.249  100360.58
=== Event 41 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 141042 == Nb of channels = 2 ===
16 41 -1.005492 -0.017916 -110.586 2505.609 2531.970   26451.94
17 41 0.165546 1.086455 38728.062 730.339 2557.249  100360.58
=== Event 42 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 144298 == Nb of channels = 2 ===
16 42 -1.004167 -0.024556 -281.408 469.692 474.593   26451.94
17 42 0.165470 1.084592 39504.016 694.820 2557.250  100360.58
=== Event 43 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 147553 == Nb of channels = 2 ===
16 43 -1.018018 0.023615  264.100 2250.729 2448.624   26451.94
17 43 0.165330 1.085933 39494.496 695.365 2557.250  100360.58
=== Event 44 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 150807 == Nb of channels = 2 ===
16 44 -1.016790 0.017549  347.919 1035.031 1134.340   26451.94
17 44 0.165561 1.089762 38654.570 733.680 2557.249  100360.58
=== Event 45 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 154062 == Nb of channels = 2 ===
16 45 -1.018645 -0.019831   18.452 730.857 735.612   26451.94
17 45 0.165660 1.089227 38654.707 733.471 2557.249  100360.58
=== Event 46 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 157317 == Nb of channels = 2 ===
16 46 -1.010334 -0.021971 -223.368 1765.025 1797.314   26451.94
17 46 0.165431 1.087262 38730.766 730.495 2557.249  100360.58
=== Event 47 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 160572 == Nb of channels = 2 ===
16 47 -1.018225 -0.013328  -39.324 2152.624 2156.284   26451.94
17 47 0.165546 1.087525 38669.324 733.085 2557.249  100360.58
=== Event 48 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 163827 == Nb of channels = 2 ===
16 48 -1.010562 0.015138  -18.906 922.870 926.089   26451.94
17 48 0.165584 1.085757 38672.352 732.712 2557.250  100360.58
=== Event 49 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 167082 == Nb of channels = 2 ===
16 49 -1.015290 -0.017042  -84.966 746.122 750.837   26451.94
17 49 0.165470 1.089403 38823.609 726.190 2557.249  100360.58
=== Event 50 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 170337 == Nb of channels = 2 ===
16 50 -0.851052 -0.179784 -5307.313 763.840 2557.226   26451.94
17 50 0.165850 1.084168 38884.484 722.536 2557.250  100360.58
=== Event 51 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 173592 == Nb of channels = 2 ===
16 51 -1.017464 0.020232  286.275 1096.710 1103.702   26451.94
17 51 0.165698 1.089954 39080.344 713.810 2557.249  100360.58
=== Event 52 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 176847 == Nb of channels = 2 ===
16 52 -1.022229 0.020722  226.604 1928.930 1937.667   26451.94
17 52 0.165509 1.091457 39084.398 714.259 2557.248  100360.58
=== Event 53 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 180102 == Nb of channels = 2 ===
16 53 -1.017844 0.016014  135.241 2533.935 2537.507   26451.94
17 53 0.165507 1.085484 39113.590 712.571 2557.250  100360.58
=== Event 54 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 183357 == Nb of channels = 2 ===
16 54 -1.025773 0.028914  338.212 2400.906 2410.679   26451.94
17 54 0.165622 1.090619 39141.125 711.156 2557.248  100360.58
=== Event 55 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 186612 == Nb of channels = 2 ===
